id pop color
0125ME3 13 palegreen
0126ME3 13 palegreen
0128ME3 13 palegreen
0169ME3 13 palegreen
0170ME3 13 palegreen
0180ME3 13 palegreen
0181ME3 13 palegreen
0182ME3 13 palegreen
0189ME3 13 palegreen
0245NG 10 black
0247NG 10 black
0248NG 10 black
0254NG 10 black
0255NG 10 black
0256NG 10 black
0257NG 10 black
0259NG 10 black
0265NG 10 black
0271NG 10 black
0278NG 10 black
0285NG 10 black
0286NG 10 black
0332ME3 13 palegreen
0333ME3 13 palegreen
0334ME3 13 palegreen
0335ME3 13 palegreen
0336ME3 13 palegreen
0337ME3 13 palegreen
0338ME3 13 palegreen
0355MA 12 cyan
0357MA 12 cyan
0358MA 12 cyan
0360MA 12 cyan
0361MA 12 cyan
0362MA 12 cyan
0363MA 12 cyan
0364MA 12 cyan
0366MA 12 cyan
0367MA 12 cyan
0368MA 12 cyan
0369MA 12 cyan
0371MA 12 cyan
0374MA 12 cyan
0375MA 12 cyan
0376MA 12 cyan
0427LI 7 yellow
0428LI 7 yellow
0429LI 7 yellow
0432LI 7 yellow
0437LI 7 yellow
0439LI 7 yellow
0441LI 7 yellow
0444LI 7 yellow
0446LI 7 yellow
0449LI 7 yellow
0451LI 7 yellow
0453LI 7 yellow
0459LI 7 yellow
0461LI 7 yellow
0463LI 7 yellow
0464LI 7 yellow
0472NG 10 black
0473NG 10 black
0476NG 10 black
0606BZ 14 palegreen3
0607BZ 14 palegreen3
0643BZ 14 palegreen3
0650BZ 14 palegreen3
0661BZ 14 palegreen3
0710BZ 14 palegreen3
0713BZ 14 palegreen3
0714BZ 14 palegreen3
0716BZ 14 palegreen3
0719BZ 14 palegreen3
0721BZ 14 palegreen3
0722BZ 14 palegreen3
0723BZ 14 palegreen3
0724BZ 14 palegreen3
0725BZ 14 palegreen3
0728BZ 14 palegreen3
0915KRI 3 mediumorchid4
0917KRI 3 mediumorchid4
0919KRI 3 mediumorchid4
0920KRI 3 mediumorchid4
0922KRI 3 mediumorchid4
0925KRI 3 mediumorchid4
0926KRI 3 mediumorchid4
0929KRI 3 mediumorchid4
0930KRI 3 mediumorchid4
0931KRI 3 mediumorchid4
0934KRI 3 mediumorchid4
0935KRI 3 mediumorchid4
0937KRI 3 mediumorchid4
0939KRI 3 mediumorchid4
0941KRI 3 mediumorchid4
0949KRI 3 mediumorchid4
0957MBW 4 magenta
0958MBW 4 magenta
0959MBW 4 magenta
0960MBW 4 magenta
0961MBW 4 magenta
0963MBW 4 magenta
0964MBW 4 magenta
0965MBW 4 magenta
0967MBW 4 magenta
0969MBW 4 magenta
0970MBW 4 magenta
0972MBW 4 magenta
0976MBW 4 magenta
0977MBW 4 magenta
0978MBW 4 magenta
0979MBW 4 magenta
0986MUN 9 blue
0988MUN 9 blue
0992MUN 9 blue
1007MUN 9 blue
1009MUN 9 blue
1011MUN 9 blue
1018MUN 9 blue
1019MUN 9 blue
1020MUN 9 blue
1022MUN 9 blue
1023MUN 9 blue
1024MUN 9 blue
1025MUN 9 blue
1026MUN 9 blue
1027MUN 9 blue
1028MUN 9 blue
1039KON 8 darkblue
1043KON 8 darkblue
1045KON 8 darkblue
1049KON 8 darkblue
1060KON 8 darkblue
1062KON 8 darkblue
1063KON 8 darkblue
1064KON 8 darkblue
1065KON 8 darkblue
1066KON 8 darkblue
1067KON 8 darkblue
1070KON 8 darkblue
1073KON 8 darkblue
1074KON 8 darkblue
1075KON 8 darkblue
1121DOU 11 dodgerblue
1122DOU 11 dodgerblue
1123DOU 11 dodgerblue
1124DOU 11 dodgerblue
1125DOU 11 dodgerblue
1127DOU 11 dodgerblue
1128DOU 11 dodgerblue
1129DOU 11 dodgerblue
1130DOU 11 dodgerblue
1131DOU 11 dodgerblue
1134DOU 11 dodgerblue
1135DOU 11 dodgerblue
1138DOU 11 dodgerblue
1140DOU 11 dodgerblue
1141DOU 11 dodgerblue
1142DOU 11 dodgerblue
1144DOU 11 dodgerblue
1145MAL 6 red
1146MAL 6 red
1147MAL 6 red
1149MAL 6 red
1151MAL 6 red
1156MAL 6 red
1157MAL 6 red
1160MAL 6 red
1164MAL 6 red
1167MAL 6 red
1169MAL 6 red
1545MAL 6 red
1548MAL 6 red
1549MAL 6 red
1563POR 5 darkorange
1569POR 5 darkorange
1574POR 5 darkorange
1575POR 5 darkorange
1576POR 5 darkorange
1579POR 5 darkorange
1580POR 5 darkorange
1581POR 5 darkorange
1582POR 5 darkorange
1596MAL 6 red
1609MAL 6 red
1616POR 5 darkorange
1640POR 5 darkorange
1643POR 5 darkorange
1653POR 5 darkorange
1654POR 5 darkorange
1657POR 5 darkorange
L1 5 darkorange
29483 1 green
29484 1 green
29485 1 green
29489 1 green
29490 1 green
29492 1 green
29496 2 darkgreen
29498 2 darkgreen
29499 2 darkgreen
29500 2 darkgreen
29501 2 darkgreen
29502 2 darkgreen
29503 2 darkgreen
29504 2 darkgreen
29505 2 darkgreen
29506 2 darkgreen
