pop1,pop2,fst
bazzama,bazzama,0
bounou,bounou,0
doume,doume,0
konye,konye,0
kribi,kribi,0
lopeforest,lopeforest,0
lopegallery,lopegallery,0
malimba,malimba,0
mapenja,mapenja,0
mbakaou,mbakaou,0
mbongwana,mbongwana,0
mundemba,mundemba,0
nguti,nguti,0
palmdor,palmdor,0
bounou,bazzama,0.12141
bounou,doume,0.19224
bounou,konye,0.66648
bounou,kribi,0.80532
bounou,malimba,0.58328
bounou,mapenja,0.64388
bounou,mbakaou,0.21038
bounou,mbongwana,0.81082
bounou,mundemba,0.64859
bounou,nguti,0.7069
bounou,palmdor,0.67418
doume,bazzama,0.16939
doume,konye,0.71045
doume,kribi,0.8331
doume,malimba,0.62264
doume,mapenja,0.68062
doume,mbakaou,0.097119
doume,mbongwana,0.83817
doume,mundemba,0.68476
doume,nguti,0.73973
doume,palmdor,0.70777
konye,bazzama,0.66464
konye,kribi,0.73451
konye,malimba,0.31286
konye,mapenja,0.43756
konye,mbakaou,0.71619
konye,mbongwana,0.74228
konye,mundemba,0.14771
konye,nguti,0.13514
konye,palmdor,0.48258
kribi,bazzama,0.80065
kribi,malimba,0.45952
kribi,mapenja,0.51087
kribi,mbakaou,0.83689
kribi,mbongwana,0.26816
kribi,mundemba,0.6917
kribi,nguti,0.74811
kribi,palmdor,0.28825
lopeforest,bazzama,0.79972
lopeforest,bounou,0.80531
lopeforest,doume,0.84056
lopeforest,konye,0.73613
lopeforest,kribi,0.54297
lopeforest,lopegallery,0.008594
lopeforest,malimba,0.45614
lopeforest,mapenja,0.52262
lopeforest,mbakaou,0.84554
lopeforest,mbongwana,0.63763
lopeforest,mundemba,0.68109
lopeforest,nguti,0.74876
lopeforest,palmdor,0.38929
lopegallery,bazzama,0.78067
lopegallery,bounou,0.78618
lopegallery,doume,0.82543
lopegallery,konye,0.69808
lopegallery,kribi,0.51666
lopegallery,malimba,0.41832
lopegallery,mapenja,0.4887
lopegallery,mbakaou,0.83131
lopegallery,mbongwana,0.61496
lopegallery,mundemba,0.65481
lopegallery,nguti,0.72763
lopegallery,palmdor,0.35246
malimba,bazzama,0.58188
malimba,mapenja,0.1379
malimba,mbakaou,0.62719
malimba,mbongwana,0.47368
malimba,mundemba,0.33475
malimba,nguti,0.40772
malimba,palmdor,0.22154
mapenja,bazzama,0.64209
mapenja,mbakaou,0.6848
mapenja,mbongwana,0.52909
mapenja,mundemba,0.44999
mapenja,nguti,0.52175
mapenja,palmdor,0.30321
mbakaou,bazzama,0.18996
mbakaou,mbongwana,0.84182
mbakaou,mundemba,0.68895
mbakaou,nguti,0.74388
mbakaou,palmdor,0.71219
mbongwana,bazzama,0.80594
mbongwana,mundemba,0.69736
mbongwana,nguti,0.75341
mbongwana,palmdor,0.31127
mundemba,bazzama,0.64715
mundemba,nguti,0.15058
mundemba,palmdor,0.48422
nguti,bazzama,0.7047
nguti,palmdor,0.5482
palmdor,bazzama,0.6719
