id	miscount	misfreq
1060KON	16707	0.298046561413
0965MBW	4080	0.0727856569441
0964MBW	2835	0.0505753278031
1582POR	6855	0.122290607439
1167MAL	3722	0.0663990723397
1135DOU	4028	0.0718579966105
0374MA	3742	0.0667558647757
MCZA_29500	3736	0.0666488270449
MCZA_29501	3012	0.0537329408617
MCZA_29502	6593	0.117616626528
MCZA_29503	25307	0.451467308893
0437LI	5874	0.104789938453
1146MAL	3564	0.0635804120953
0367MA	5866	0.104647221479
0286NG	1983	0.0353759700294
1022MUN	2865	0.0511105164571
0963MBW	1803	0.0321648381054
1549MAL	11272	0.20108821693
0444LI	4360	0.0777807510481
0357MA	2535	0.045223441263
1609MAL	10220	0.182320934796
0428LI	8721	0.155579341718
0181ME3	3471	0.0619213272679
0957MBW	4006	0.0714655249309
1023MUN	3555	0.0634198554991
0169ME3	5158	0.0920167692445
0719BZ	3126	0.0557666577469
0931KRI	2974	0.0530550352333
0959MBW	2334	0.0416376772812
0722BZ	3444	0.0614396574793
0432LI	2756	0.0491659976808
0363MA	9690	0.172865935242
0245NG	1772	0.0316118098296
0937KRI	807	0.0143965747926
1128DOU	4264	0.0760681473553
1129DOU	8865	0.158148247257
MCZA_29492	1643	0.0293104986174
0961MBW	2838	0.0506288466685
1121DOU	3390	0.0604763179021
MCZA_29504	11692	0.208580858086
0977MBW	5525	0.0985639104451
MCZA_29490	2131	0.0380162340558
0247NG	2566	0.0457764695388
0337ME3	4935	0.0880385335831
1149MAL	8333	0.14865756846
0920KRI	2665	0.047542592097
1025MUN	3164	0.0564445633753
1049KON	28742	0.512746409776
0949KRI	1381	0.0246365177058
0934KRI	12484	0.222709838551
0333ME3	3007	0.0536437427527
0441LI	10997	0.196182320935
0255NG	3774	0.0673267326733
1596MAL	3680	0.0656498082241
0969MBW	5010	0.0893765052181
0986MUN	4977	0.0887877976987
0375MA	4577	0.0816519489787
1028MUN	2790	0.049772544822
1157MAL	7260	0.129515654268
0278NG	2417	0.0431183658906
1123DOU	6025	0.107483721345
0257NG	6745	0.120328249041
1020MUN	4941	0.0881455713139
0721BZ	5132	0.0915529390777
0716BZ	6233	0.11119436268
0725BZ	4262	0.0760324681117
0360MA	6530	0.116492730354
MCZA_29499	6774	0.120845598073
0358MA	3352	0.0597984122737
1075KON	6016	0.107323164749
1643POR	3706	0.0661136383909
0453LI	2686	0.0479172241548
1125DOU	24078	0.429542413701
1156MAL	6138	0.109499598609
0338ME3	3847	0.0686290250647
1074KON	4512	0.0804923735617
1576POR	2717	0.0484702524306
0472NG	2629	0.0469003657122
0979MBW	7820	0.139505842476
1653POR	2658	0.0474177147444
0925KRI	2950	0.0526268843101
0710BZ	10996	0.196164481313
0661BZ	9713	0.173276246544
1147MAL	17554	0.313156721078
0978MBW	6531	0.116510569976
1130DOU	4306	0.0768174114709
1018MUN	2005	0.035768441709
1580POR	3448	0.0615110159665
1142DOU	3146	0.0561234501829
1575POR	2146	0.0382838283828
1019MUN	4321	0.0770850057979
0650BZ	4175	0.0744804210151
0189ME3	3989	0.0711622513603
1062KON	21639	0.386031576131
0714BZ	3250	0.0579787708501
0463LI	3004	0.0535902238873
0335ME3	3395	0.0605655160111
0334ME3	2601	0.0464008563018
MCZA_29484	2174	0.0387833377932
0723BZ	2910	0.0519132994381
0473NG	3486	0.0621889215949
0180ME3	9391	0.167531888324
0992MUN	5771	0.102952457408
1011MUN	2228	0.0397466773704
0643BZ	5010	0.0893765052181
1124DOU	5065	0.0903576844171
0285NG	7608	0.135723842655
0336ME3	34522	0.61585942378
0170ME3	4237	0.0755864775667
0248NG	3619	0.0645615912943
0439LI	5815	0.103737400767
1064KON	10555	0.188297208099
1640POR	5373	0.0958522879315
0271NG	6982	0.124556239408
0376MA	2280	0.040674337704
0972MBW	3107	0.0554277049327
1579POR	1548	0.0276157345464
0429LI	6013	0.107269645884
0371MA	2413	0.0430470074034
1138DOU	4781	0.0852912318259
0935KRI	3502	0.0624743555437
0446LI	5559	0.0991704575863
0427LI	3288	0.0586566764785
1581POR	2326	0.0414949603068
1134DOU	3727	0.0664882704487
1569POR	2564	0.0457407902952
0919KRI	2334	0.0416376772812
1066KON	15334	0.273552760681
0125ME3	6515	0.116225136027
1039KON	14377	0.256480242619
0958MBW	6925	0.123539380965
1563POR	4913	0.0876460619035
0182ME3	2557	0.0456159129426
1574POR	6023	0.107448042102
0970MBW	2570	0.045847828026
0361MA	5672	0.10118633485
0960MBW	3201	0.0571046293819
MCZA_29496	31390	0.559985728303
0988MUN	3268	0.0582998840425
1141DOU	7786	0.138899295335
1043KON	3331	0.0594237802159
0256NG	1682	0.0300062438676
0369MA	3836	0.0684327892249
0926KRI	8650	0.15431272857
MCZA_29498	11571	0.206422263848
1657POR	18049	0.321987333869
0939KRI	1845	0.032914102221
0929KRI	2602	0.0464186959236
1007MUN	3100	0.0553028275801
1140DOU	4875	0.0869681562751
1160MAL	4704	0.0839175809473
0254NG	2024	0.0361073945232
0459LI	3737	0.0666666666667
1169MAL	1485	0.026491838373
1548MAL	1802	0.0321469984836
1009MUN	2119	0.0378021585942
0922KRI	4073	0.0726607795915
1144DOU	7185	0.128177682633
1654POR	3444	0.0614396574793
1616POR	2738	0.0488448844884
1164MAL	1489	0.0265631968602
0967MBW	5128	0.0914815805905
1024MUN	3004	0.0535902238873
0461LI	4526	0.0807421282669
1122DOU	7341	0.130960663634
0449LI	2451	0.0437249130318
MCZA_29485	7669	0.136812059584
0713BZ	7121	0.127035946838
0941KRI	2014	0.0359289983052
0364MA	8834	0.157595218981
MCZA_29483	17756	0.316760324681
1151MAL	4574	0.0815984301133
0451LI	1785	0.031843724913
0915KRI	1512	0.0269735081616
0259NG	2988	0.0533047899385
MCZA_29489	1362	0.0242975648916
0930KRI	6303	0.112443136206
0476NG	2014	0.0359289983052
MCZA_29505	2432	0.0433859602176
1067KON	25342	0.452091695656
0332ME3	5323	0.0949603068415
0265NG	2818	0.0502720542325
0362MA	6730	0.120060654714
0917KRI	4427	0.0789760057087
0976MBW	2448	0.0436713941664
1065KON	4923	0.0878244581215
0355MA	2303	0.0410846490054
MCZA_29506	2684	0.0478815449112
0728BZ	4352	0.0776380340737
1073KON	11496	0.205084292213
L1	1798	0.0320756399964
1131DOU	13711	0.2445990545
0368MA	10271	0.183230755508
0366MA	2203	0.0393006868254
1070KON	5782	0.103148693248
0464LI	2595	0.046293818571
0606BZ	11691	0.208563018464
1145MAL	2167	0.0386584604406
1063KON	16896	0.301418249933
0607BZ	2613	0.0466149317634
1545MAL	1616	0.0288288288288
1027MUN	3124	0.0557309785033
1127DOU	4649	0.0829364017483
1045KON	9615	0.171527963607
0128ME3	4822	0.0860226563197
0126ME3	8786	0.156738917135
1026MUN	3840	0.0685041477121
0724BZ	3148	0.0561591294265
